phase_id,phase_type,owner_service,state,standards,outputs,receipts,valid,reason
SDD-01-intake-and-work-identity,planning,workflow_schema_guard,ready,DORA_TRUNK_BASED_DEVELOPMENT;GITHUB_ACTIONS_ENVIRONMENTS,validated_work_item;workflow_schema_guard_receipt,evidence/workflow_schema_guard_receipt.json,True,valid
SDD-02-architecture-and-boundary-design,design,agent_registry_service,ready,ISO_IEC_IEEE_12207_2026;NIST_SP_800_218_SSDF_1_1,architecture_decision_record;agent_registry_matrix,evidence/agent_registry_receipt.json,True,valid
SDD-03-security-and-threat-model,security_design,secret_boundary_guard,ready,NIST_SP_800_218_SSDF_1_1;OWASP_SAMM,security_gate_matrix;secret_boundary_receipt,evidence/service_probes_receipt.json,True,valid
SDD-04-implementation-planning,engineering_plan,task_milestone_monitor,ready,DORA_CONTINUOUS_DELIVERY;DORA_TRUNK_BASED_DEVELOPMENT,task_milestone_registry;task_milestone_receipt,evidence/task_milestone_monitor_receipt.json,True,valid
SDD-05-code-implementation,implementation,agent_runtime_service,ready,NIST_SP_800_218_SSDF_1_1;DORA_CONTINUOUS_DELIVERY,source_change;agent_runtime_work_order_receipt,evidence/agent_runtime_work_order_*.json,True,valid
SDD-06-verification-and-validation,verification,test_runner,ready,NIST_SP_800_218_SSDF_1_1;OWASP_SAMM,test_runner_receipt;test_matrix,evidence/test_runner_receipt.json,True,valid
SDD-07-release-candidate-packaging,release_candidate,k_cloud_adapter,ready,CycloneDX_ECMA_424;SLSA,K-APP package;build_receipt;integrity.sha256,runtime_volume/proof_bundles.ledger,True,valid
SDD-08-k-app-integrity-readback,pre_deployment_verification,k_cloud_adapter,ready,NIST_SP_800_218_SSDF_1_1;SLSA,integrity_readback_result;k_cloud_deployment_receipt,evidence/k_cloud_deployment_receipt.json,True,valid
SDD-09-deployment-gate,deployment_gate,target_host_receipt_harness,ready,GITHUB_ACTIONS_ENVIRONMENTS;DORA_CONTINUOUS_DELIVERY,target_host_receipts;deployment_gate_matrix,evidence/target_host_receipts.json,True,valid
SDD-10-target-host-deployment,deployment,launchd_service_spine,ready,GITHUB_ACTIONS_ENVIRONMENTS;DORA_CONTINUOUS_DELIVERY,github_actions_artifact;launchd_status_receipt,GitHub Actions artifact;launchctl status receipt,True,valid
SDD-11-post-deployment-observability,observability,health_state_monitor,ready,OpenTelemetry;DORA_CONTINUOUS_DELIVERY,dashboard_state;health_projection;observability_receipt,evidence/k_cloud_deployment_receipt.json,True,valid
SDD-12-rollback-and-improvement,continuous_improvement,failure_ledger,ready,OWASP_SAMM;DORA_CONTINUOUS_DELIVERY,improvement_record;failure_ledger_record;mirror_update_lane_receipt,runtime_volume/failure_ledger.jsonl;evidence/mirror_update_lane_receipt.json,True,valid
