service_id,owner_plane,semantic_word,semantic_expression,sector,code_binding,evidence_contract,conformance_state,reason
agent_static_guard,virtual_cpu,word://agent,expression://instantiate-governed-agent-worker,sector://agent-operations,config/service_protocols.json::agent_static_guard,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
secret_boundary_guard,virtual_cpu,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::secret_boundary_guard,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
zero_heap_compiler,virtual_cpu,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::zero_heap_compiler,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
peer_ack_verifier,virtual_cpu,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::peer_ack_verifier,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
hyper_explicit_mesh_runtime,virtual_cpu,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::hyper_explicit_mesh_runtime,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
hemos_family_of_five_runtime,virtual_cpu,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::hemos_family_of_five_runtime,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
indefinite_network_runtime,virtual_cpu_network_adapter,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::indefinite_network_runtime,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
safe_asset_receipt_pipeline,virtual_cpu_volume_adapter,word://verify,expression://verify-manifest-before-node-execution,sector://evidence-governance,config/service_protocols.json::safe_asset_receipt_pipeline,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
virtual_gpu_hci_dashboard,virtual_gpu,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::virtual_gpu_hci_dashboard,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
vfs_volume_custody,vfs,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::vfs_volume_custody,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
