component_id,component_type,owner_plane,issue_code,maturity_state,corrective_workflow,pending_workload,action_command,required_receipts,dependency_class,fallback_path,reentry_condition,promotion_boundary
agent_static_guard,SERVICE_APPLET,virtual_cpu,PROVIDER_GATE_PENDING,LOCAL_SHIPPABLE_WITH_TARGET_GATES,provider_gate,Keep local package and outbox active while awaiting external/provider or target-host proof.,capture signed provider/peer receipt then replay outbox,runtime_volume/outbox/*;provider_peer_ack_receipt_or_target_host_receipt,EXTERNAL_GATE,adapter.local-static-applet,provider or target host produces signed receipt and capability readback,PROVIDER_REQUIRED_OR_TARGET_HOST_REQUIRED
secret_boundary_guard,SERVICE_APPLET,virtual_cpu,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
zero_heap_compiler,SERVICE_APPLET,virtual_cpu,PROVIDER_GATE_PENDING,LOCAL_SHIPPABLE_WITH_TARGET_GATES,provider_gate,Keep local package and outbox active while awaiting external/provider or target-host proof.,capture signed provider/peer receipt then replay outbox,runtime_volume/outbox/*;provider_peer_ack_receipt_or_target_host_receipt,EXTERNAL_GATE,adapter.local-static-applet,provider or target host produces signed receipt and capability readback,PROVIDER_REQUIRED_OR_TARGET_HOST_REQUIRED
peer_ack_verifier,SERVICE_APPLET,virtual_cpu,PROVIDER_GATE_PENDING,LOCAL_SHIPPABLE_WITH_TARGET_GATES,provider_gate,Keep local package and outbox active while awaiting external/provider or target-host proof.,capture signed provider/peer receipt then replay outbox,runtime_volume/outbox/*;provider_peer_ack_receipt_or_target_host_receipt,EXTERNAL_GATE,adapter.local-peer-ack-outbox,provider or target host produces signed receipt and capability readback,PROVIDER_REQUIRED_OR_TARGET_HOST_REQUIRED
hyper_explicit_mesh_runtime,SERVICE_APPLET,virtual_cpu,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
hemos_family_of_five_runtime,SERVICE_APPLET,virtual_cpu,PROVIDER_GATE_PENDING,LOCAL_SHIPPABLE_WITH_TARGET_GATES,provider_gate,Keep local package and outbox active while awaiting external/provider or target-host proof.,capture signed provider/peer receipt then replay outbox,runtime_volume/outbox/*;provider_peer_ack_receipt_or_target_host_receipt,EXTERNAL_GATE,adapter.local-static-applet,provider or target host produces signed receipt and capability readback,PROVIDER_REQUIRED_OR_TARGET_HOST_REQUIRED
indefinite_network_runtime,SERVICE_APPLET,virtual_cpu_network_adapter,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
safe_asset_receipt_pipeline,SERVICE_APPLET,virtual_cpu_volume_adapter,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
virtual_gpu_hci_dashboard,SERVICE_APPLET,virtual_gpu,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,REPLACEABLE,adapter.canvas-cpu-renderer,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
vfs_volume_custody,SERVICE_APPLET,vfs,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_MANDATORY,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
orphan_service_reconciler,SERVICE_APPLET,virtual_cpu,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
mirror_update_lane,SERVICE_APPLET,virtual_cpu_vfs_mirror,PROVIDER_GATE_PENDING,LOCAL_SHIPPABLE_WITH_TARGET_GATES,provider_gate,Keep local package and outbox active while awaiting external/provider or target-host proof.,capture signed provider/peer receipt then replay outbox,runtime_volume/outbox/*;provider_peer_ack_receipt_or_target_host_receipt,EXTERNAL_GATE,adapter.local-static-applet,provider or target host produces signed receipt and capability readback,PROVIDER_REQUIRED_OR_TARGET_HOST_REQUIRED
agent_registry_service,SERVICE_APPLET,virtual_cpu_governance_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
agent_runtime_service,SERVICE_APPLET,virtual_cpu_execution_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
btc_core_protocol_router,SERVICE_APPLET,virtual_cpu_network_adapter,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.read-only-local-p2p-framer,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
task_milestone_monitor,SERVICE_APPLET,virtual_cpu_worker_governance,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
workflow_schema_guard,SERVICE_APPLET,virtual_cpu_delivery_governance,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
